Comunidad;Anyo;Labor;Unidad;Total
Navarra (Comunidad Foral de);2013;CIGARRILLOS;cantidad;51449611
Navarra (Comunidad Foral de);2013;CIGARROS;cantidad;55319859
Navarra (Comunidad Foral de);2013;P. LIAR;cantidad;126499
Navarra (Comunidad Foral de);2013;P. PIPA;cantidad;5277
País Vasco;2013;CIGARRILLOS;cantidad;129284979
País Vasco;2013;CIGARROS;cantidad;169868051
País Vasco;2013;P. LIAR;cantidad;238570
País Vasco;2013;P. PIPA;cantidad;12249
Rioja (La);2013;CIGARRILLOS;cantidad;16709317
Rioja (La);2013;CIGARROS;cantidad;27741537
Rioja (La);2013;P. LIAR;cantidad;33867
Rioja (La);2013;P. PIPA;cantidad;2577
Andalucía;2012;CIGARRILLOS;euros;1735787971
Andalucía;2012;CIGARROS;euros;59167274
Andalucía;2012;P. LIAR;euros;144293438
Andalucía;2012;P. PIPA;euros;9864285
Aragón;2012;CIGARRILLOS;euros;338348567
Aragón;2012;CIGARROS;euros;18851759
Aragón;2012;P. LIAR;euros;24249271
Aragón;2012;P. PIPA;euros;1014174
Asturias (Principado de);2012;CIGARRILLOS;euros;268048193
