Comunidad;Año;Labor;Totales;Unidades
Murcia (Región de);2014;CIGARRILLOS;360263132;euros
Murcia (Región de);2014;CIGARROS;12384695;euros
Murcia (Región de);2014;P. LIAR;37825537;euros
Murcia (Región de);2014;P. PIPA;2559131;euros
Navarra (Comunidad Foral de);2014;CIGARRILLOS;217153663;euros
Navarra (Comunidad Foral de);2014;CIGARROS;14147195;euros
Navarra (Comunidad Foral de);2014;P. LIAR;19477043;euros
Navarra (Comunidad Foral de);2014;P. PIPA;384547;euros
País Vasco;2014;CIGARRILLOS;557397276;euros
País Vasco;2014;CIGARROS;47108566;euros
País Vasco;2014;P. LIAR;37913362;euros
País Vasco;2014;P. PIPA;828198;euros
Rioja (La);2014;CIGARRILLOS;72841627;euros
Rioja (La);2014;CIGARROS;7066647;euros
Rioja (La);2014;P. LIAR;5173010;euros
Rioja (La);2014;P. PIPA;286863;euros
Andalucía;2014;CIGARRILLOS;353016261;unidades
Andalucía;2014;CIGARROS;337940882;unidades
Andalucía;2014;P. LIAR;949858;unidades
Andalucía;2014;P. PIPA;187016;unidades
Aragón;2014;CIGARRILLOS;74514077;unidades
Aragón;2014;CIGARROS;99247637;unidades
Aragón;2014;P. LIAR;179943;unidades
Aragón;2014;P. PIPA;15136;unidades
Asturias (Principado de);2014;CIGARRILLOS;58948282;unidades
Asturias (Principado de);2014;CIGARROS;86695438;unidades
Asturias (Principado de);2014;P. LIAR;122063;unidades
Asturias (Principado de);2014;P. PIPA;6336;unidades
Balears (Illes);2014;CIGARRILLOS;87071235;unidades
Balears (Illes);2014;CIGARROS;57017082;unidades
Balears (Illes);2014;P. LIAR;286796;unidades
Balears (Illes);2014;P. PIPA;15773;unidades
Cantabria;2014;CIGARRILLOS;32728786;unidades
Cantabria;2014;CIGARROS;51845477;unidades
Cantabria;2014;P. LIAR;69014;unidades
Cantabria;2014;P. PIPA;4267;unidades
Castilla y León;2014;CIGARRILLOS;126509841;unidades
Castilla y León;2014;CIGARROS;176493935;unidades
Castilla y León;2014;P. LIAR;282075;unidades
